Year,ID,Enrollment_Status,BIPOC,Household_Size,,rowNum,colNum
2021,3332295,Enrolled,At least one BIPOC,Single child,,209,475
2021,3333412,Enrolled,All White,Multiple children,,210,1639
2021,3333195,Enrolled,,Single child,,211,1351
2021,999250,Unenrolled,All White,Single child,,212,702
2021,9991251,Unenrolled,At least one BIPOC,Single child,,213,629
2021,9991164,Unenrolled,All White,Multiple children,,214,1271
2021,777610,Unenrolled,All White,Single child,,215,385
2021,7771770,Unenrolled,At least one BIPOC,Multiple children,,216,1179
2021,999204,Unenrolled,All White,Multiple children,,217,1383
2021,999216,Unenrolled,All White,Single child,,218,1756
2021,7771779,Unenrolled,,Single child,,219,1397
2021,7771450,Unenrolled,At least one BIPOC,Single child,,220,1588
2021,999669,Unenrolled,At least one BIPOC,Multiple children,,221,701
2021,7771852,Unenrolled,All White,Single child,,222,1313
2021,999887,Unenrolled,All White,Single child,,223,468
2021,9991119,Unenrolled,At least one BIPOC,Single child,,224,1859
2021,999608,Unenrolled,At least one BIPOC,Multiple children,,225,244
2021,999534,Unenrolled,,Single child,,226,1632
2021,999501,Unenrolled,,Multiple children,,227,138
2021,999666,Unenrolled,At least one BIPOC,Multiple children,,228,1972
2021,9991234,Unenrolled,At least one BIPOC,Multiple children,,229,1938
2021,999704,Unenrolled,At least one BIPOC,Single child,,230,1584
2021,7771522,Unenrolled,All White,Single child,,231,658
2021,99991,Unenrolled,All White,Multiple children,,232,805
2021,99985,Unenrolled,At least one BIPOC,Multiple children,,233,1544
2021,9991107,Unenrolled,All White,Single child,,234,1294
2021,999564,Unenrolled,At least one BIPOC,Multiple children,,235,1743
2021,999410,Unenrolled,At least one BIPOC,Multiple children,,236,1918
2021,9991023,Unenrolled,All White,Single child,,237,629
2021,9991267,Unenrolled,At least one BIPOC,Multiple children,,238,1849
2021,999715,Unenrolled,At least one BIPOC,Single child,,239,330
2021,999679,Unenrolled,At least one BIPOC,Multiple children,,240,950
2021,777991,Unenrolled,At least one BIPOC,Single child,,241,1832
2021,999110,Unenrolled,At least one BIPOC,Single child,,242,579
2021,999411,Unenrolled,All White,Multiple children,,243,353
2021,9991060,Unenrolled,At least one BIPOC,Single child,,244,935
2021,999842,Unenrolled,All White,Single child,,245,331
2021,7771264,Unenrolled,At least one BIPOC,Single child,,246,947
2021,7771031,Unenrolled,All White,Single child,,247,151
2021,777872,Unenrolled,At least one BIPOC,Multiple children,,248,65
2021,7771367,Unenrolled,All White,Multiple children,,249,667
2021,7771178,Unenrolled,All White,Multiple children,,250,415
2021,777905,Unenrolled,At least one BIPOC,Multiple children,,251,159
2021,7771964,Unenrolled,All White,Single child,,252,1480
2021,777440,Unenrolled,All White,Multiple children,,253,1659
2021,777567,Unenrolled,At least one BIPOC,Multiple children,,254,592
2021,7771838,Unenrolled,At least one BIPOC,Single child,,255,1749
2021,7771122,Unenrolled,At least one BIPOC,Single child,,256,437
2021,7771117,Unenrolled,,,,257,1372
2021,7771190,Unenrolled,All White,Multiple children,,258,702
2021,777345,Unenrolled,All White,Single child,,259,141
2021,777228,Unenrolled,At least one BIPOC,Single child,,260,631
2021,7771443,Unenrolled,At least one BIPOC,Multiple children,,261,1874
2021,7771904,Unenrolled,At least one BIPOC,Single child,,262,743
2021,3333270,Enrolled,At least one BIPOC,Multiple children,,263,693
2021,333633,Enrolled,At least one BIPOC,Multiple children,,264,838
2021,3333556,Enrolled,At least one BIPOC,Multiple children,,265,1144
2021,3331293,Enrolled,At least one BIPOC,Multiple children,,266,1840
2021,333874,Enrolled,All White,Single child,,267,1312
2021,3331047,Enrolled,At least one BIPOC,Multiple children,,268,1452
2021,3331575,Enrolled,At least one BIPOC,Multiple children,,269,971
2021,333343,Enrolled,All White,Multiple children,,270,1650
2021,3332586,Enrolled,At least one BIPOC,Multiple children,,271,73
2021,333176,Enrolled,At least one BIPOC,Multiple children,,272,1680
2021,3332052,Enrolled,At least one BIPOC,Multiple children,,273,416
2021,3332351,Enrolled,At least one BIPOC,Multiple children,,274,986
2021,33370,Enrolled,At least one BIPOC,Single child,,275,1116
2021,3333066,Enrolled,At least one BIPOC,Multiple children,,276,1604
2021,3331004,Enrolled,At least one BIPOC,Multiple children,,277,243
2021,3333575,Enrolled,At least one BIPOC,Multiple children,,278,1434
2021,33356,Enrolled,,,,279,1507
2021,3331639,Enrolled,At least one BIPOC,Multiple children,,280,1568
2021,3331055,Enrolled,At least one BIPOC,Multiple children,,281,1373
2021,3331920,Enrolled,At least one BIPOC,Multiple children,,282,1899
2021,333453,Enrolled,At least one BIPOC,Multiple children,,283,1233
2021,3333127,Enrolled,At least one BIPOC,Multiple children,,284,769
2021,3331581,Enrolled,At least one BIPOC,Multiple children,,285,1730
2021,3332393,Enrolled,At least one BIPOC,Single child,,286,1281
2021,333947,Enrolled,At least one BIPOC,Single child,,287,1914
